RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT%OFF.,FT%DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
107,Chattanooga,SC,106.2,102.1,51.9,50.7,19.8,21.4,31.2,32.7,40.3,37.2,71.3,75.3,53.3,49.7,33.1,35.3
,,,136,114,107,182,268,27,102,312,51,217,136,346,38,185,258,186
108,Arkansas St.,SB,105.7,103.2,51.9,49.2,18.6,18.8,31,27.5,41.5,41.8,63.5,68.4,49.7,49.8,37.7,32
,,,146,143,108,114,182,156,109,97,29,305,344,69,159,193,57,34
109,UTEP,CUSA,100.5,102.7,51.8,49.5,19,17.5,22.2,25,36.3,39.1,66.2,68.3,51.9,48.5,34.3,34
,,,251,126,109,119,213,239,333,27,147,254,296,61,69,137,203,113
110,Boise St.,MWC,110,102.3,51.8,48.3,17.9,16.6,27.7,26.5,40.5,41.9,71.5,72.9,51.5,47.1,34.8,34.2
,,,71,120,110,79,118,289,227,60,48,307,131,302,84,83,176,122
111,Central Michigan,MAC,110.7,118.7,51.7,53.5,14.7,15.2,26.7,34,34.6,32.6,79.1,70.6,48.5,53.9,36.4,35.1
,,,65,345,111,308,6,334,264,330,197,110,2,181,206,322,105,174
112,Hofstra,CAA,110.3,112.7,51.7,53.1,15.2,15.4,31.1,29.6,37.7,29.3,68.1,72.6,49.6,52,36.4,36.9
,,,67,312,112,289,13,331,104,195,109,46,255,290,163,268,104,280
113,North Carolina 1,ACC,121.6,92.4,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,70.2,72.7,51,46.3,35.5,33.9
,,,9,9,113,71,36,165,1,25,207,83,172,295,100,59,148,107
114,Houston,Amer,113.6,99,51.7,47.1,14.9,20.7,31.8,30.7,28.6,36.8,71.7,72.2,47.7,45.7,39.4,32.9
,,,40,68,114,34,7,44,79,240,326,210,124,269,241,46,15,68
115,Albany,AE,108,104.2,51.7,51.2,18.3,17.5,33,23.6,33.4,31.4,76.2,70.4,50.3,50.7,37.1,34.7
,,,106,172,115,199,152,235,56,3,236,81,25,171,132,227,77,150
116,Boston College,ACC,104.8,102.9,51.6,53.2,20.1,17.2,25.6,24.2,29.6,39.6,68,75.6,49.1,53.2,37.4,35.4
,,,160,130,116,298,281,263,289,11,310,267,261,350,184,308,66,190
117,Davidson,A10,109.7,99.6,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,75.3,69,51.9,45.8,34.1,38.1
,,,78,78,117,130,87,265,296,72,278,131,35,92,71,49,215,320
118,Wyoming,MWC,105.3,102.3,51.6,46.2,17.7,16.2,22.7,27.7,37.5,39.4,73.8,72.4,50.7,45.7,35.1,31.4
,,,151,119,118,25,106,306,329,108,113,262,68,277,112,44,168,23
119,Penn,Ivy,102.9,102.4,51.6,48.8,18.9,20.1,27.6,29.4,26,33.6,65.7,72.9,52.2,45.3,33.9,36
,,,202,122,119,94,210,74,229,187,346,140,315,305,55,31,220,229
120,IUPUI,Sum,106,110,51.6,54.4,16.8,19,29.6,29.4,33.2,43.3,68,75.4,48.5,54.1,37.8,36.6
,,,140,279,120,323,59,144,162,184,244,322,262,348,212,325,54,266
121,Florida 4,SEC,117.3,90,51.6,45.8,16.9,21,32.1,29.5,40.2,34,72.9,70.6,50.3,45.7,35.9,30.5
