RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
87,Northern Iowa,-1.1,-1.4,0,3,0,3,0,0,0,0,0,0,0,2.20%,0.20%
88,Minnesota,-0.6,-0.7,0,1,0,1,0,0,0,0,0,0,0,0.60%,0.10%
89,UTEP,-1,-0.9,0,2,0,2,0,0,0,0,0,0,0,2.00%,0.10%
90,San Diego St.,-1,-0.9,0,2,0,2,0,0,0,0,0,0,0,1.50%,0.10%
91,DePaul,-0.3,-0.5,1,2,0.333,2,1,0,0,0,0,0,0,2.00%,0.10%
92,Colorado,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,2.10%,0.10%
93,Bucknell,1.3,1.2,2,2,0.5,2,2,0,0,0,0,0,0,1.10%,0.10%
94,Fresno St.,0.1,-0.2,1,2,0.333,2,1,0,0,0,0,0,0,1.90%,0.10%
95,Baylor,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1.40%,0.10%
96,Winthrop,-0.6,-0.3,1,6,0.143,6,1,0,0,0,0,0,0,2.00%,0.10%
97,Valparaiso,-0.6,-0.4,0,3,0,3,0,0,0,0,0,0,0,0.90%,0.10%
98,Richmond,-0.4,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.10%
99,New Mexico,-0.4,-0.5,0,1,0,1,0,0,0,0,0,0,0,1.00%,0.10%
100,Air Force,-0.8,-0.9,0,2,0,2,0,0,0,0,0,0,0,1.90%,0.10%
101,Western Kentucky,0.1,0.5,2,4,0.333,4,1,1,0,0,0,0,0,3.60%,0.10%
102,Arizona St.,0.3,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1.40%,0.10%
103,Pepperdine,-0.1,-0.3,1,2,0.333,2,1,0,0,0,0,0,0,1.90%,0.10%
104,Penn,-2.2,-2,0,6,0,6,0,0,0,0,0,0,0,2.80%,0.10%
105,Manhattan,0.1,0.3,1,2,0.333,2,1,0,0,0,0,0,0,1.30%,0.10%
106,Hawaii,-0.9,-1.1,0,2,0,2,0,0,0,0,0,0,0,1.20%,0.10%
107,Western Michigan,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1.40%,0.10%
108,Albany,-0.4,-0.3,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
109,Jackson St.,0,0,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
110,Wyoming,0.6,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0.50%,0.00%
111,UC Santa Barbara,-0.3,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
