RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
81,Colorado,B12,101.1,100.8,51.3,52.6,22,22.2,22.3,34.5,39.6,37.9,72.7,66.3,50.7,51.4,34.9,36.7
,,,188,143,81,305,242,87,341,245,83,210,56,40,71,297,125,295
82,Connecticut 1,BE,116.3,87.1,51.3,42.4,18.1,16.8,39.8,30.6,46.4,19.5,67.8,69.9,51.4,40.9,34.1,30.4
,,,16,3,82,2,38,331,11,79,6,1,203,235,52,6,161,18
83,Penn St.,B10,111.6,98.6,51.2,49.2,17.3,18.3,32.7,28.1,33.9,23.1,65.8,71.8,49.4,49.3,36.1,32.7
,,,44,95,83,166,16,303,165,22,232,2,268,309,112,226,84,78
84,Marquette 6,BE,117.3,95.9,51.2,50.9,16.7,21.5,35,30.6,45.4,30.1,72.8,67.3,50.7,50.3,34.7,34.7
,,,8,55,84,251,12,119,93,80,11,37,55,76,70,264,132,195
85,South Alabama,SB,102.3,103.4,51.2,46.7,21.1,16.5,37.2,31.4,41.8,33.5,66,70.7,49.7,42.5,37.6,36.6
,,,168,198,85,65,204,335,38,114,42,103,258,270,100,19,44,291
86,Illinois 5,B10,106.2,88.4,51.1,44.2,19.4,21.6,30.2,32.7,22.5,26.7,71.1,63.1,50.5,44.1,35,29.6
,,,102,4,86,11,96,113,253,171,344,12,94,4,75,36,121,7
87,Wofford,SC,106.1,112.5,51.1,53.4,21,19.7,37.2,34.2,38.9,29.2,68.7,69,49.7,51.7,36,37.6
,,,104,330,87,322,200,222,37,236,103,25,181,182,101,306,86,325
88,Temple 11,A10,108.2,94.8,51.1,46.3,19.2,18.1,32.5,29.5,28.7,30.4,70,67.3,48.8,43.4,36.7,34.8
,,,78,45,88,50,83,312,175,46,329,47,130,78,136,28,66,205
89,Montana,BSky,103.1,104.3,51,47.5,18.7,18,28,32,37.1,39.5,73,71.5,48.6,44.6,37.4,36.3
,,,146,221,89,96,61,315,307,140,158,246,47,296,144,43,51,277
90,Santa Clara,WCC,101,99,51,46.9,25.4,18.2,33,29.9,36.9,38.2,71.1,68.4,50.8,44.8,34.3,34.3
,,,191,110,90,72,334,310,159,60,161,216,95,136,69,49,151,171
91,Siena 9,MAAC,110.3,98.2,51,49.2,18.2,23.3,34.3,34.9,35.7,24.4,66.4,68.2,51.5,48.4,33,33.9
,,,56,87,91,167,43,39,109,261,193,3,251,124,49,182,217,154
