RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
56,So,Alex Karaban,Connecticut,BE,76.5,4.5,8.0,129.5,17.5,60.7,62.9,5.4,12.4,8.0,10.0,2.7,1.7,15.8,0.64,0.387
57,Sr,Shahada Wells,McNeese St.,Slnd,83.8,4.4,10.4,117.9,28.6,51.2,56.2,3.3,13.1,30.0,12.8,1.3,5.6,37.4,0.483,0.39
60,Sr,Jamal Shead,Houston,B12,78.1,4.4,11.6,113.7,26.4,46.1,49.9,3.3,10.5,40.0,15.4,2.0,4.3,24.3,0.46,0.309
61,Sr,PJ Hall,Clemson,ACC,71.9,4.4,8.0,113.8,29.9,54.4,58.4,6.7,18.2,11.1,11.8,5.9,1.6,33.9,0.577,0.321
63,Sr,Joseph Girard III,Clemson,ACC,81.5,4.4,5.9,120.7,21.2,56.7,62.6,0.9,10.1,16.1,14.0,0.4,1.2,33.4,0.458,0.414
64,Sr,Oso Ighodaro,Marquette,BE,78.5,4.4,7.0,117.7,22.1,58.1,59.5,9.4,15.1,16.0,14.5,4.8,1.9,42.2,0.584,0.0
70,Jr,Trey Alexander,Creighton,BE,90.7,4.4,4.7,109.0,26.4,51.0,54.0,1.7,14.5,23.8,14.7,1.0,1.7,20.3,0.514,0.335
73,So,Braden Smith,Purdue,B10,82.8,4.4,8.2,117.2,21.8,52.3,55.3,2.5,16.1,37.9,21.1,0.4,2.7,21.2,0.456,0.44
75,Sr,Tyson Walker,Michigan St.,B10,79.8,4.3,8.3,110.5,27.2,51.0,53.6,2.0,8.1,18.5,9.1,0.4,3.4,21.6,0.485,0.376
77,Sr,Hunter Dickinson,Kansas,B12,77.8,4.3,7.8,111.3,26.3,56.2,57.2,10.1,27.5,15.5,12.1,5.1,1.6,24.9,0.568,0.349
