ï»¿RK,YEAR,NAME ,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
548,Sr,Manuale Watkins,Arkansas,SEC,55.7,2.4,5.5,126.9,12.4,60.3,60.3,5.3,14.0,14.1,11.2,0.1,3.1,18.2,0.584,0.464
549,Sr,Ambrose Mosley,UNC Wilmington,CAA,61.5,2.4,3.0,127.4,13.7,60.7,61.3,4.6,9.3,7.8,10.7,0.4,1.5,9.5,0.571,0.411
557,Sr,Tarik Phillip,West Virginia,B12,59.8,2.4,7.9,110.4,20.3,47.6,53.1,2.7,11.2,21.4,17.4,1.9,3.9,47.6,0.426,0.379
559,Fr,Myles Powell,Seton Hall,BE,58.8,2.4,4.5,112.2,20.1,50.5,53.6,2.6,8.0,7.3,11.6,0.8,2.2,19.9,0.521,0.332
562,Jr,Jaylen Barford,Arkansas,SEC,63.6,2.4,2.1,101.7,26.3,47.5,51.1,4.9,11.2,15.4,16.2,0.7,2.7,27.5,0.503,0.266
566,Jr,Lavone Holland II,Northern Kentucky,Horz,78.5,2.4,1.2,102.9,26.7,51.0,54.0,2.0,8.2,26.5,20.4,0.8,2.5,42.3,0.481,0.372
567,So,Chris Silva,South Carolina,SEC,51.9,2.4,4.1,108.5,24.6,52.4,59.7,12.0,20.4,3.8,19.9,7.4,1.7,78.4,0.527,0.0
568,So,Jaylin Walker,Kent St.,MAC,73.3,2.4,0.7,106.4,23.9,48.8,51.9,5.2,10.3,5.6,15.6,0.0,1.4,21.9,0.477,0.331
572,Fr,Jarron Cumberland,Cincinnati,Amer,46.1,2.4,7.5,118.6,21.2,58.7,60.3,6.3,8.3,14.9,15.1,1.6,3.1,43.3,0.649,0.355
573,So,Myles Stephens,Princeton,Ivy,70.3,2.4,3.2,108.1,23.4,57.3,58.6,6.0,14.3,8.6,15.2,3.3,1.4,25.8,0.559,0.405
575,So,Dupree McBrayer,Minnesota,B10,68.1,2.4,4.2,107.8,19.9,51.2,55.4,1.0,6.3,19.5,15.4,1.0,1.7,39.2,0.462,0.416
576,Jr,Zach Lofton,Texas Southern,SWAC,80.9,2.4,-0.1,105.1,26.7,45.8,53.3,2.8,10.2,16.3,15.3,0.9,2.4,53.2,0.487,0.258
579,Jr,Jaylen Johnson,Louisville,ACC,50.8,2.4,4.5,115.7,19.7,60.0,61.1,14.4,16.7,4.8,18.7,2.7,1.3,48.9,0.59,0.571
580,Jr,Al Freeman,Baylor,B12,53.2,2.4,3.5,110.7,19.8,51.9,57.8,3.3,8.7,9.4,20.2,0.0,1.1,42.0,0.465,0.38
583,Jr,Jemerrio Jones,New Mexico St.,WAC,62.0,2.4,6.0,109.4,24.3,51.6,53.7,14.1,24.7,24.0,19.8,3.0,2.4,39.3,0.529,0.25
590,So,Esa Ahmad,West Virginia,B12,53.8,2.4,4.7,105.5,24.4,50.7,55.4,8.2,12.6,13.4,20.3,3.1,2.1,60.2,0.494,0.395
591,Sr,Kadeem Allen,Arizona,P12,68.9,2.4,6.3,108.5,18.4,52.1,57.0,1.5,13.7,17.8,20.7,2.3,3.1,49.2,0.466,0.427
595,Sr,Cole Murray,Northern Kentucky,Horz,73.9,2.3,2.5,123.9,13.2,62.0,62.8,0.7,11.4,6.9,11.1,1.4,1.0,7.8,0.696,0.409
